,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
110,digiulio_None_PCA_CNNLSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.686276543,0.002416619,,
111,digiulio_None_PCA_LSTM__mean.pth,0.825,0.160078106,0.825,0.160078106,0.825,0.160078106,0.73483426,0.014103743,,
112,digiulio_None_PCA_LSTM__mice.pth,0.825,0.160078106,0.825,0.160078106,0.825,0.160078106,0.73483426,0.014103743,,
113,digiulio_None_PCA_LSTM__None.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.734838116,0.014060761,,
114,digiulio_None_PCA_LSTM_padded_mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.734727603,0.014010328,,
115,digiulio_None_PCA_LSTM_padded_mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.734727603,0.014010328,,
116,digiulio_None_PCA_LSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.7347224,0.013938402,,
117,mmc7__CNNLSTM__GAIN.pth,0.684311948,0.078333784,0.710190226,0.139692368,0.95804878,0.021847315,0.681527841,0.001467545,0.893367127,0.041499926
118,mmc7__LSTM__GAIN.pth,0.549806176,0.044935832,0.533720708,0.061349066,0.898658537,0.027391286,0.709541309,0.006389851,0.748206177,0.05201011
119,mmc7_PCA_LSTM__GAIN.pth,0.560164624,0.047777964,0.556572171,0.049322552,0.823780488,0.075601396,0.678200024,0.002363589,0.751655872,0.046521032
120,mmc7__LSTM__mean.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
121,mmc7__LSTM__mice.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
122,mmc7__LSTM__None.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
123,mmc7_PCA_LSTM__mean.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
