model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
___transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
__transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554383439,0.023645518,0.712074175,0.099280985
transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554374135,0.023623726,0.712074175,0.099280985
transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.419541176,0.156003311,0.351272489,0.201423219,0.779437229,0.128285498,0.554383439,0.023645518,0.712074175,0.099280985
